q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,variant,lambda_per_node,M,selected
0.975,fine,2,508.324942791762,9.41189931350112,7.04347826086957,501.281464530892,1,batch_clear,1,1,0
1,coarse,2,508.324942791762,9.41189931350112,7.04347826086957,501.281464530892,1,batch_clear,1,1,0
0.025,coarse,2,8892.06178489703,1110.85125858124,180.391304347826,8711.6704805492,1,baseline,1,2,0
0.05,coarse,2,4383.59725400458,208.771167048055,32.8695652173913,4350.72768878718,1,baseline,1,2,0
0.1,coarse,2,2452.75743707094,378.453089244851,27.9267734553776,2424.83066361556,1,baseline,1,2,0
0.2,coarse,2,1726.00228832952,73.5240274599543,42.4256292906178,1683.5766590389,1,baseline,1,2,0
0.4,coarse,2,1059.28146453089,52.4553775743707,11.3478260869565,1047.93363844394,1,baseline,1,2,0
0.6,coarse,2,916.558352402746,38.862700228833,15.6521739130435,900.906178489703,1,baseline,1,2,0
0.8,coarse,2,822.315789473684,39.3157894736842,11.3478260869565,810.967963386728,1,baseline,1,2,0
0.825,fine,2,822.315789473684,39.3157894736842,15.6521739130435,806.663615560641,1,baseline,1,2,0
0.85,fine,2,772.022883295195,6.24027459954237,15.6521739130435,756.370709382151,1,baseline,1,2,0
0.875,fine,2,772.022883295195,6.24027459954237,15.6521739130435,756.370709382151,1,baseline,1,2,0
0.9,fine,2,759.109839816934,19.1533180778032,15.6521739130435,743.45766590389,1,baseline,1,2,0
0.925,fine,2,743.478260869565,3.52173913043481,15.6521739130435,727.826086956522,1,baseline,1,2,0
0.95,fine,2,724.448512585812,1.70938215102973,11.3478260869565,713.100686498856,1,baseline,1,2,0
0.975,fine,2,724.448512585812,1.70938215102973,11.3478260869565,713.100686498856,1,baseline,1,2,0
1,coarse,2,720.144164759725,6.01372997711667,11.3478260869565,708.796338672769,1,baseline,1,2,1
0.025,coarse,2,1236.66590389016,510.508009153318,11.3478260869565,1225.3180778032,1,fast_first,1,2,0
0.05,coarse,2,1236.66590389016,510.508009153318,11.3478260869565,1225.3180778032,1,fast_first,1,2,0
0.1,coarse,2,952.578947368421,226.421052631579,11.3478260869565,941.231121281465,1,fast_first,1,2,0
0.2,coarse,2,776.100686498856,49.9427917620138,11.3478260869565,764.752860411899,1,fast_first,1,2,0
0.4,coarse,2,728.752860411899,2.59496567505721,11.3478260869565,717.405034324943,1,fast_first,1,2,0
0.45,fine,2,728.752860411899,2.59496567505721,11.3478260869565,717.405034324943,1,fast_first,1,2,0
0.5,fine,2,720.144164759725,6.01372997711667,11.3478260869565,708.796338672769,1,fast_first,1,2,1
0.55,fine,2,720.144164759725,6.01372997711667,11.3478260869565,708.796338672769,1,fast_first,1,2,0
0.6,coarse,2,720.144164759725,6.01372997711667,11.3478260869565,708.796338672769,1,fast_first,1,2,0
0.65,fine,2,720.144164759725,6.01372997711667,11.3478260869565,708.796338672769,1,fast_first,1,2,0
0.7,fine,2,720.144164759725,6.01372997711667,11.3478260869565,708.796338672769,1,fast_first,1,2,0
0.75,fine,2,720.144164759725,6.01372997711667,11.3478260869565,708.796338672769,1,fast_first,1,2,0
0.8,coarse,2,720.144164759725,6.01372997711667,11.3478260869565,708.796338672769,1,fast_first,1,2,0
1,coarse,2,720.144164759725,6.01372997711667,11.3478260869565,708.796338672769,1,fast_first,1,2,0
