protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,stability_class,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,rate_threshold,rate_check_status,little_relative_error,little_threshold,little_check_status,n_aloha_probability_tests,aloha_ci95_coverage_fraction,aloha_ci95_all_inside,aloha_probability_check_status,aloha_controlled_file_status,aloha_controlled_available,aloha_controlled_K,aloha_controlled_q,aloha_controlled_trials,aloha_controlled_probability_pass,aloha_controlled_service_relative_error,aloha_controlled_preregistered_parameters_valid,aloha_controlled_probability_status,aloha_controlled_service_status,aloha_controlled_hard_gate_status,overall_status
sf_cf,fixed_packet,10,10,2,396,0.3,1,stable,383,384.333333333333,0.0034812880765874,0.05,pass,0.00603034176242748,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,10,10,2,396,0.4,1,stable,383,383.333333333333,0.000870322019146145,0.05,pass,0.00237134071857083,0.05,pass,4,1,1,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,10,10,2,396,0.00334370152488211,0.666666666666667,mixed,383,291.333333333333,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,10,10,2,396,0.6,1,stable,383,383,0,0.05,pass,0.00128114957297852,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_clean,fixed_packet,10,10,2,396,0.6,1,stable,383,383,0,0.05,pass,0.00128006730620981,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,10,10,2,396,0.5,1,stable,383,383.666666666667,0.00174064403829511,0.05,pass,0.00276664315565697,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,10,10,3,594,0.2,1,stable,383,382.666666666667,0.000870322019146145,0.05,pass,0.00708187554159441,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,10,10,3,594,0.3,1,stable,383,383,0,0.05,pass,0.00197750877386872,0.05,pass,4,0.75,0,diagnostic_only,present,1,40,0.025,10993,1,0.0110575878907009,1,pass,pass,pass,pass
sb_cf,fixed_packet,10,10,3,594,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,10,10,3,594,0.5,1,stable,383,383.333333333333,0.000870322019146145,0.05,pass,0.00143397161713989,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
