q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.05,coarse,3,1124.42363242974,60.3137040518979,7.16732841747022,1117.25630401227,1,1,unslotted,1,4,0
0.1,coarse,3,1072.98521383257,34.5667793368472,7.16732841747022,1065.8178854151,1,1,unslotted,1,4,0
0.125,fine,3,1062.69753011313,29.4575576120932,7.16732841747022,1055.53020169566,1,1,unslotted,1,4,0
0.15,fine,3,1055.83907430018,26.0685949205919,7.16732841747022,1048.67174588271,1,1,unslotted,1,4,0
0.175,fine,3,1050.94017729092,23.6602031521216,7.16732841747022,1043.77284887345,1,1,unslotted,1,4,0
0.2,coarse,3,1047.26600453398,21.8629686948156,7.16732841747022,1040.09867611651,1,1,unslotted,1,4,0
0.225,fine,3,1044.40831461192,20.4719553938188,7.16732841747022,1037.24098619445,1,1,unslotted,1,4,0
0.25,fine,3,1042.12216267426,19.3644063492765,7.16732841747022,1034.95483425679,1,1,unslotted,1,4,1
0.275,fine,3,1040.25167472528,18.4623491963266,7.16732841747022,1033.0843463078,1,1,unslotted,1,4,0
0.3,coarse,3,1038.69293476778,17.7139077951276,7.16732841747022,1031.52560635031,1,1,unslotted,1,4,0
0.4,coarse,3,1043.12595901354,18.1917382670864,7.16732841747022,1035.95863059607,1,1,unslotted,1,4,0
0.5,coarse,3,1039.1171030021,16.2114857127732,7.16732841747022,1031.94977458463,1,1,unslotted,1,4,0
0.6,coarse,3,1036.4445323278,14.9380716527498,7.16732841747022,1029.27720391033,1,1,unslotted,1,4,0
0.01,coarse,3,19865.8332387975,577.631001418622,897.832104367555,18968.0011344299,1,1,batch_clear,1,4,0
0.025,coarse,3,10545.1956891662,956.098172230311,625.150311968236,9920.04537719796,1,1,batch_clear,1,4,0
0.05,coarse,3,5471.09472490074,274.941630147902,69.2960862166761,5401.79863868406,1,1,batch_clear,1,4,0
0.1,coarse,3,2743.60635280771,110.648007849033,19.3936471922859,2724.21270561543,1,1,batch_clear,1,4,0
0.2,coarse,3,1929.44412932501,58.6314140412628,19.6931366988088,1909.75099262621,1,1,batch_clear,1,4,0
