protocol,load_mode,lambda_base,M,best_q,q,tuning_stable_fraction,mean_delay_us,mean_p95_us,mean_collision_waste_us,rate_screen_rejected_fraction,mean_arrival_rate_pkt_s,mean_goodput_pkt_s,mean_completion_ratio,mean_backlog_slope_pkt_s,mean_final_backlog
sf_cf,fixed_packet,15,6,NaN,0.005,0,NaN,NaN,15580,1,587.666666666667,145,0.108051632166475,450.602334602335,546.333333333333
sf_cf,fixed_packet,15,6,NaN,0.01,0,NaN,NaN,65360,1,587.666666666667,224.666666666667,0.24014385454315,358.04029004029,459
sf_cf,fixed_packet,15,6,NaN,0.025,0,NaN,NaN,247000,1,587.666666666667,315.333333333333,0.417598910884189,280.244476244476,344.333333333333
sf_cf,fixed_packet,15,6,NaN,0.05,0,NaN,NaN,579120,1,587.666666666667,256.666666666667,0.342263546595155,363.529555529556,390.333333333333
sf_cf,fixed_packet,15,6,NaN,0.1,0,NaN,NaN,1011940,1,587.666666666667,72.3333333333333,0.0466337646247897,534.944806944807,600.666666666667
sf_cf,fixed_packet,15,6,NaN,0.2,0,NaN,NaN,1152540,1,587.666666666667,2.33333333333333,0,597.529389529389,690.666666666667
sf_cf,fixed_packet,15,6,NaN,0.5,0,NaN,NaN,1176480,1,587.666666666667,0,0,600.897652897653,700.333333333333
sb_cf,fixed_packet,15,6,NaN,0.0001,0,NaN,NaN,382053.333333333,1,587.666666666667,208.333333333333,0.219535237532115,392.826500826501,466.666666666667
sb_cf,fixed_packet,15,6,NaN,0.0002,0,NaN,NaN,790456.666666667,1,587.666666666667,125,0.109818449450326,490.740222740223,553.666666666667
sb_cf,fixed_packet,15,6,NaN,0.0005,0,NaN,NaN,1122090,1,587.666666666667,24,0.0080205916452318,574.699518699519,670
sb_cf,fixed_packet,15,6,NaN,0.001,0,NaN,NaN,1175150,1,587.666666666667,2.33333333333333,0.00114793662836589,597.187477187477,699.333333333333
sb_cf,fixed_packet,15,6,NaN,0.002,0,NaN,NaN,1191456.66666667,1,587.666666666667,0,0,600.897652897653,707.333333333333
sb_cf,fixed_packet,15,6,NaN,0.005,0,NaN,NaN,1196338.33333333,1,587.666666666667,0,0,600.897652897653,710.333333333333
sb_cf,fixed_packet,15,6,NaN,0.01,0,NaN,NaN,1196773.33333333,1,587.666666666667,0,0,600.897652897653,710.333333333333
