q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.175,fine,3,1619.59478341872,53.5402009264303,1.71428571428571,1617.88049770444,1,1,sb_cb,3,6,0
0.2,coarse,3,1654.76152771309,98.6973429682601,1.71428571428571,1653.0472419988,1,1,sb_cb,3,6,0
0.225,fine,3,1656.33826269213,105.672740974386,1.71428571428571,1654.62397697784,1,1,sb_cb,3,6,0
0.25,fine,3,1650.75615060882,104.895380224161,1.71428571428571,1649.04186489454,1,1,sb_cb,3,6,0
0.275,fine,3,1645.79475929869,98.4832150228066,1.71428571428571,1644.0804735844,1,1,sb_cb,3,6,0
0.3,coarse,3,1615.20203024153,71.395959520437,1.71428571428571,1613.48774452725,1,1,sb_cb,3,6,0
0.4,coarse,3,1639.97649128352,75.7361127540645,1.71428571428571,1638.26220556923,1,1,sb_cb,3,6,0
0.5,coarse,3,1645.88883575088,90.2697355259283,1.71428571428571,1644.1745500366,1,1,sb_cb,3,6,0
0.6,coarse,3,1705.58400841706,155.323284351796,1.71428571428571,1703.86972270277,1,1,sb_cb,3,6,0
0.7,coarse,3,1695.73866774236,153.438992288465,1.71428571428571,1694.02438202808,1,1,sb_cb,3,6,0
