protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cb,saturation_throughput,6,1188,1188,132,6,0,0.025,fixed_theoretical_q,0,3,0.693772,0.00661256131047567,0.693772,0.00661256131047567,584.333333333333,5.10269645492568,3506,30.6161787295541,NaN,0.954959930587311,0.083424,NaN,NaN,0.6775938,0
sb_cf,saturation_throughput,6,1188,1188,132,6,0,7.40082804492285e-05,maximum_effective_payload_throughput,0,3,0.182465333333333,0.0166324279367318,0.182465333333333,0.0166324279367318,153.666666666667,14.1488531141024,922,84.8931186846143,NaN,0.813202276820642,0.123675,NaN,NaN,67.0995003,0
sb_cb,saturation_throughput,6,1188,1188,132,6,0,0.001,maximum_effective_payload_throughput,0,3,0.654097,0.00510234607168116,0.654097,0.00510234607168116,551,4.08006535895362,3306,24.4803921537217,NaN,0.925363722581466,0.053157,NaN,NaN,192.0712968,0
s7_clean,saturation_throughput,6,1188,1188,132,6,0,0.0124902476648341,maximum_effective_payload_throughput,0,3,0.827851,0.00090305391466955,0.827851,0.00090305391466955,697.666666666667,0.653333333333333,4186,3.92,NaN,0.946845610595329,0.0126,0,0,51.0018749,0
s7_busy,saturation_throughput,6,1188,1188,132,6,0,0.0447213595499958,maximum_effective_payload_throughput,0,3,0.510277666666667,0.0165861080178858,0.510277666666667,0.0165861080178858,430,13.72,2580,82.32,NaN,0.908941926154787,0.098196,542,0.643513,96.6428267,0
sf_cf,saturation_throughput,8,1584,1584,176,8,0,0.025,fixed_theoretical_q,0,3,0.361541333333333,0.0312516224703963,0.361541333333333,0.0312516224703963,228.333333333333,19.8703575989742,1826.66666666667,158.962860791794,NaN,0.846509765036907,0.260165333333333,NaN,NaN,0.2259693,0
sf_cb,saturation_throughput,8,1584,1584,176,8,0,0.025,fixed_theoretical_q,0,3,0.747575333333333,0.00460263442808332,0.747575333333333,0.00460263442808332,472,2.99394945403782,3776,23.9515956323025,NaN,0.915079068871714,0.0657953333333333,NaN,NaN,0.3958023,0
sb_cf,saturation_throughput,8,1584,1584,176,8,0,5.92507172723973e-05,maximum_effective_payload_throughput,0,3,0.194458666666667,0.0160929225809167,0.194458666666667,0.0160929225809167,123,10.184458748505,984,81.47566998804,NaN,0.764317328267796,0.147186,NaN,NaN,51.3794344,0
sb_cb,saturation_throughput,8,1584,1584,176,8,0,0.00121152765862859,maximum_effective_payload_throughput,0,3,0.681229666666667,0.0136623713723855,0.681229666666667,0.0136623713723855,430.333333333333,8.49333333333333,3442.66666666667,67.9466666666667,NaN,0.924203625869237,0.090729,NaN,NaN,157.7862084,0
s7_clean,saturation_throughput,8,1584,1584,176,8,0,0.0104004191152595,maximum_effective_payload_throughput,0,3,0.866518666666667,0.00169662591002785,0.866518666666667,0.00169662591002785,547.333333333333,1.30666666666667,4378.66666666667,10.4533333333333,NaN,0.911737208009146,0.00811433333333333,0,0,54.1579707,0
s7_busy,saturation_throughput,8,1584,1584,176,8,0,0.05,maximum_effective_payload_throughput,0,3,0.561792,0.0045109373386914,0.561792,0.0045109373386914,354.666666666667,2.84781397644657,2837.33333333333,22.7825118115726,NaN,0.901754672599611,0.0933293333333333,435,0.688856333333333,96.2423415,0
sf_cf,saturation_throughput,10,1980,1980,220,10,0,0.025,fixed_theoretical_q,0,3,0.386753333333333,0.00518094569145226,0.386753333333333,0.00518094569145226,195.333333333333,2.61333333333333,1953.33333333333,26.1333333333333,NaN,0.856892296997627,0.259373333333333,NaN,NaN,0.1829212,0
sf_cb,saturation_throughput,10,1980,1980,220,10,0,0.025,fixed_theoretical_q,0,3,0.783868666666667,0.0086200792077206,0.783868666666667,0.0086200792077206,396.333333333333,4.28419316921064,3963.33333333333,42.8419316921064,NaN,0.911758295430535,0.0561,NaN,NaN,0.3593825,0
sb_cf,saturation_throughput,10,1980,1980,220,10,0,3.79769610462371e-05,maximum_effective_payload_throughput,0,3,0.183278333333333,0.0324893971094845,0.183278333333333,0.0324893971094845,92.6666666666667,16.4115460711185,926.666666666667,164.115460711185,NaN,0.707592827244218,0.110838,NaN,NaN,55.9280584,0
sb_cb,saturation_throughput,10,1980,1980,220,10,0,0.000562341325190349,one_se_tie_collision_fairness_q,0,3,0.712405666666667,0.00839509332523337,0.712405666666667,0.00839509332523337,360,4.08006535895362,3600,40.8006535895362,NaN,0.916545204517141,0.028893,NaN,NaN,192.6827532,0
s7_clean,saturation_throughput,10,1980,1980,220,10,0,0.009,maximum_effective_payload_throughput,0,3,0.890458666666667,0.00142921964168481,0.890458666666667,0.00142921964168481,450,1.13160652761167,4500,11.3160652761167,NaN,0.903194904378221,0.005691,0,0,62.3952928,0
s7_busy,saturation_throughput,10,1980,1980,220,10,0,0.05,maximum_effective_payload_throughput,0,3,0.592516,0.00784487202618371,0.592516,0.00784487202618371,300,4.08006535895362,3000,40.8006535895362,NaN,0.894081278858568,0.077217,373,0.737332,101.0245565,0
sf_cf,saturation_throughput,15,2970,2970,330,15,0,0.025,fixed_theoretical_q,0,3,0.365963333333333,0.0287319250231825,0.365963333333333,0.0287319250231825,123.333333333333,9.88672735427542,1850,148.300910314131,NaN,0.727095250261755,0.26928,NaN,NaN,0.1549976,0
