condition_tag,phase,q,grid_stable_fraction,mean_delay_us,mean_goodput_pkt_s,mean_backlog_slope_pkt_s,rate_screen_rejected_fraction,run_index,run_stable,n_arrived,n_departures_window,n_censored,final_backlog,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,backlog_slope_pkt_s,completion_ratio,tuning_rate_screen_rejected,failure_reason
s7_busy_fixed_packet_lam10_M5,coarse,0.005,0,NaN,204,227.713727713728,1,1,0,430,204,293,299,430,204,0.525581395348837,227.713727713728,0.318604651162791,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M5,coarse,0.01,0,NaN,304,135.779283779284,1,1,0,430,304,181,181,430,304,0.293023255813953,135.779283779284,0.57906976744186,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M5,coarse,0.025,0,NaN,379,53.9204339204339,1,1,0,430,379,91,91,430,379,0.118604651162791,53.9204339204339,0.788372093023256,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M5,coarse,0.05,1,79144.5139534884,412,0.640524640524642,0,1,1,430,412,0,0,430,412,0.0418604651162791,0.640524640524642,1,0,stable
s7_busy_fixed_packet_lam10_M5,coarse,0.1,1,37429.0953488372,427,-13.4120534120534,0,1,1,430,427,0,0,430,427,0.00697674418604651,-13.4120534120534,1,0,stable
s7_busy_fixed_packet_lam10_M5,coarse,0.2,1,18295.5348837209,429,-18.1754341754342,0,1,1,430,429,0,0,430,429,0.00232558139534884,-18.1754341754342,1,0,stable
s7_busy_fixed_packet_lam10_M5,coarse,0.5,0,NaN,27,427.093699093699,1,1,0,430,27,413,413,430,27,0.937209302325581,427.093699093699,0.0395348837209302,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M5,coarse,1,0,NaN,0,427.093699093699,1,1,0,430,0,430,523,430,0,1,427.093699093699,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M5,refined,0.1,0.666666666666667,31328.4137031267,420.666666666667,6.13453413453414,0,1,1,430,427,0,0,430,427,0.00697674418604651,-13.4120534120534,1,0,stable
s7_busy_fixed_packet_lam10_M5,refined,0.1,0.666666666666667,31328.4137031267,420.666666666667,6.13453413453414,0,2,0,419,416,0,0,419,416,0.00715990453460621,22.8548748548749,1,0,slope
s7_busy_fixed_packet_lam10_M5,refined,0.1,0.666666666666667,31328.4137031267,420.666666666667,6.13453413453414,0,3,1,418,419,0,0,418,419,0.00239234449760766,8.96078096078096,1,0,stable
s7_busy_fixed_packet_lam10_M5,refined,0.2,0.666666666666667,16056.1394514298,419,1.31318931318931,0,1,1,430,429,0,0,430,429,0.00232558139534884,-18.1754341754342,1,0,stable
s7_busy_fixed_packet_lam10_M5,refined,0.2,0.666666666666667,16056.1394514298,419,1.31318931318931,0,2,0,419,412,0,0,419,412,0.0167064439140811,24.4239004239004,1,0,slope
s7_busy_fixed_packet_lam10_M5,refined,0.2,0.666666666666667,16056.1394514298,419,1.31318931318931,0,3,1,418,416,0,0,418,416,0.00478468899521531,-2.30889830889831,1,0,stable
s7_busy_fixed_packet_lam10_M5,refined,0.3,0.333333333333333,10712.8205741627,234,279.492999493,0.666666666666667,1,0,430,234,208,208,430,234,0.455813953488372,401.020241020241,0.516279069767442,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M5,refined,0.3,0.333333333333333,10712.8205741627,234,279.492999493,0.666666666666667,2,0,419,49,386,388,419,49,0.883054892601432,438.253434253434,0.0787589498806683,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M5,refined,0.3,0.333333333333333,10712.8205741627,234,279.492999493,0.666666666666667,3,1,418,419,0,0,418,419,0.00239234449760766,-0.794676794676796,1,0,stable
s7_busy_fixed_packet_lam10_M5,refined,0.4,0.333333333333333,9207.99043062201,322,179.914687914688,0.666666666666667,1,0,430,201,238,238,430,201,0.532558139534884,423.324279324279,0.446511627906977,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M5,refined,0.4,0.333333333333333,9207.99043062201,322,179.914687914688,0.666666666666667,2,0,419,350,75,75,419,350,0.164677804295943,112.555300555301,0.821002386634845,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M5,refined,0.4,0.333333333333333,9207.99043062201,322,179.914687914688,0.666666666666667,3,1,418,415,0,0,418,415,0.00717703349282297,3.86448386448386,1,0,stable
s7_busy_fixed_packet_lam10_M5,refined,0.5,0,NaN,9.33333333333333,441.071049071049,1,1,0,430,27,413,413,430,27,0.937209302325581,427.093699093699,0.0395348837209302,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M5,refined,0.5,0,NaN,9.33333333333333,441.071049071049,1,2,0,419,1,419,459,419,1,0.997613365155131,446.451002451003,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M5,refined,0.5,0,NaN,9.33333333333333,441.071049071049,1,3,0,418,0,418,471,418,0,1,449.668445668446,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M6,coarse,0.005,0,NaN,182,238.382146382146,1,1,0,430,182,320,325,430,182,0.576744186046512,238.382146382146,0.255813953488372,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M6,coarse,0.01,0,NaN,278,136.584136584137,1,1,0,430,278,218,218,430,278,0.353488372093023,136.584136584137,0.493023255813954,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M6,coarse,0.025,0,NaN,380,38.9373269373269,1,1,0,430,380,93,93,430,380,0.116279069767442,38.9373269373269,0.783720930232558,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M6,coarse,0.05,0,NaN,412,25.6865056865057,0,1,0,430,412,0,0,430,412,0.0418604651162791,25.6865056865057,1,0,slope
s7_busy_fixed_packet_lam10_M6,coarse,0.1,1,50081.2953488372,423,21.2315012315012,0,1,1,430,423,0,0,430,423,0.0162790697674419,21.2315012315012,1,0,stable
s7_busy_fixed_packet_lam10_M6,coarse,0.2,0,NaN,110,393.70854970855,1,1,0,430,110,341,341,430,110,0.744186046511628,393.70854970855,0.206976744186047,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M6,coarse,0.5,0,NaN,0,427.093699093699,1,1,0,430,0,430,503,430,0,1,427.093699093699,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M6,coarse,1,0,NaN,1,427.093699093699,1,1,0,430,1,429,523,430,1,0.997674418604651,427.093699093699,0.00232558139534884,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M6,refined,0.05,0,NaN,403,39.7075517075517,0.333333333333333,1,0,430,412,0,0,430,412,0.0418604651162791,25.6865056865057,1,0,slope
s7_busy_fixed_packet_lam10_M6,refined,0.05,0,NaN,403,39.7075517075517,0.333333333333333,2,0,419,404,0,0,419,404,0.035799522673031,33.8162738162738,1,0,slope
